id_hora,rut_paciente,estado,id_contacto,id_procedimiento,apoyo
857,50692374-0,1,2840,6,No
2590,21774192-3,0,2301,11,22767738-4
2461,27470077-6,1,2710,14,57378727-6
2737,22769853-9,3,1667,9,57378727-6
1534,57891601-9,4,3611,7,22767738-4
2600,30716561-0,4,1999,6,No
37,56640243-9,0,3136,3,No
677,81778485-8,4,229,2,No
1821,69145853-7,1,659,14,No
3366,11592484-9,3,342,3,73177104-4
1316,24441102-3,1,2888,2,95208514-3
3037,78803927-1,1,1238,15,57378727-6
2285,29519188-7,3,1892,4,No
717,15074844-0,0,2313,15,94023614-4
3664,46930558-3,4,1020,6,No
3521,72222830-6,4,2100,8,94023614-4
2577,24735893-2,0,1151,4,86209409-0
1305,78943450-5,1,1324,6,73177104-4
3570,98720208-3,1,239,4,73177104-4
491,77724461-4,3,2846,3,57378727-6
2148,28592060-1,4,586,1,No
3227,26529183-7,3,1431,11,57378727-6
2552,25939458-6,1,1375,10,No
1329,48863238-8,0,3198,7,94023614-4
3279,67260949-6,3,3239,4,No
972,31462078-5,3,962,7,No
946,21398093-5,1,914,4,No
3065,84295710-6,0,2101,15,57378727-6
2175,12120279-7,0,1319,2,86209409-0
3433,11458745-0,1,1588,1,No
954,50066254-1,1,114,8,No
1620,60334032-8,3,394,5,95208514-3
3231,67384344-0,3,135,5,57378727-6
1939,82205587-1,4,2512,15,No
565,50692374-0,0,1637,12,No
652,53407302-6,1,2510,8,73177104-4
20,53337367-3,0,759,13,95208514-3
2901,32043482-6,1,1204,13,95208514-3
1258,62903851-4,4,2118,13,94023614-4
1202,15347792-3,1,906,13,No
397,94761985-0,0,2316,2,No
803,57891601-9,1,532,5,95208514-3
2449,97926155-6,3,1252,7,73177104-4
633,60775663-1,3,2196,14,No
1115,93738834-2,4,3401,5,95208514-3
193,24595395-3,0,1744,7,No
2051,13560469-0,4,3552,6,94023614-4
338,72795772-4,1,2060,12,No
2634,61617949-1,0,1288,1,No
3524,67384344-0,4,1852,16,57378727-6
3086,19557494-0,0,2130,9,94023614-4
3046,81768570-2,3,932,5,86209409-0
2526,72795772-4,0,1054,2,No
599,76332098-2,1,2041,6,95208514-3
1044,80061523-7,0,2380,16,No
290,31462078-5,4,1498,13,22767738-4
3665,29962868-0,4,3578,1,No
428,22769853-9,4,960,1,No
1380,21398093-5,0,2880,11,No
3610,85033698-2,1,240,3,No
1812,65660643-5,4,923,11,95208514-3
3644,90438698-1,1,3497,4,73177104-4
522,55322795-0,4,857,15,No
3021,35405564-1,4,3244,15,No
629,63708168-9,3,2995,8,No
1866,69145853-7,1,328,14,94023614-4
2377,85033698-2,1,3296,8,73177104-4
2274,39145977-2,1,1895,3,95208514-3
3510,19805123-3,3,1290,15,95208514-3
3230,98720208-3,4,1991,3,95208514-3
878,79159576-1,0,2179,7,No
1569,36809677-6,3,710,7,95208514-3
503,11852079-8,1,2135,16,No
3232,37926941-4,1,3259,13,73177104-4
2966,66264861-2,1,3204,11,94023614-4
1104,32601187-2,0,2053,3,95208514-3
1588,66264861-2,1,2311,11,No
2515,44722314-7,3,2837,10,86209409-0
2292,55539940-3,4,2,14,No
2974,78662663-0,3,1243,15,94023614-4
482,51009521-0,1,2302,5,95208514-3
2267,61617949-1,0,619,8,No
1915,70812597-6,1,1947,9,No
3028,37640277-4,0,2725,15,No
1911,96253618-2,0,2562,15,73177104-4
2595,45846060-8,3,3195,8,No
1117,40884415-9,4,554,9,No
1565,45846060-8,1,1450,5,No
531,61864673-3,0,945,10,No
704,56809478-6,1,874,8,22767738-4
2516,53039267-4,0,2038,16,No
583,70414825-8,1,2505,14,95208514-3
2610,32818392-4,0,1283,9,No
1330,99550289-1,4,720,8,No
735,38324156-4,3,2128,1,No
3417,98275857-9,1,3538,1,No
723,49873347-8,1,2356,1,No
1545,19557494-0,1,657,14,No
1753,11592484-9,0,269,11,No
3544,32340622-6,0,1440,1,No
3098,98041254-1,1,1854,1,No
3198,79159576-1,3,1761,2,73177104-4
687,22212788-6,0,3377,1,No
2431,20272755-6,0,1601,3,No
1027,62614900-0,0,1570,10,22767738-4
2289,53337367-3,1,3460,4,No
1526,34310135-9,4,478,12,No
2209,14540200-5,1,1958,13,73177104-4
1573,17973044-7,0,921,1,No
3356,64355233-5,1,404,2,No
1617,89765444-6,3,2683,6,No
2497,22212788-6,1,1682,5,No
658,16226259-9,1,3664,5,22767738-4
511,63952204-2,3,422,16,95208514-3
3270,12457845-7,4,530,14,No
373,40484874-8,1,1824,12,No
58,49197992-8,3,3616,13,No
575,75006543-8,1,1552,12,No
3463,58501550-1,1,2753,5,No
76,38196101-9,4,1401,14,No
3306,55223444-3,3,3119,10,No
337,55322795-0,0,1344,10,No
1367,37926941-4,4,208,4,No
1978,65660643-5,0,1650,14,94023614-4
770,96253618-2,3,2545,15,86209409-0
86,48322668-8,0,2323,13,22767738-4
2851,89765444-6,3,94,15,No
89,92670172-1,1,1378,4,No
554,23124705-7,1,2374,1,No
1401,90942860-9,4,216,13,No
3068,60334032-8,0,574,2,86209409-0
785,65999494-0,1,25,16,No
2824,62237414-5,3,3501,16,No
1015,30716561-0,3,1564,14,No
1692,59644030-9,3,3287,3,73177104-4
2003,12457845-7,4,3201,4,73177104-4
2318,22519178-2,4,1848,7,73177104-4
128,23572980-4,0,1943,11,No
1909,25422399-6,3,3067,13,No
220,32601187-2,3,1242,3,73177104-4
470,90942860-9,4,1649,9,No
2797,78678453-4,3,2861,12,22767738-4
3467,53407302-6,4,2597,9,No
1303,86853828-8,1,243,4,No
1418,14540200-5,3,2245,1,No
3365,20114723-0,1,3163,16,22767738-4
2135,53039267-4,3,3647,4,86209409-0
1361,93827792-4,3,1156,13,No
3670,78662663-0,4,1693,6,22767738-4
3,58719444-0,1,2277,15,86209409-0
1350,24554256-3,3,1110,5,No
2930,55643376-9,1,1622,3,57378727-6
3196,24595395-3,3,2516,5,No
947,80062558-9,3,1778,12,No
2904,21870177-9,3,2976,6,No
462,99550289-1,3,1248,16,No
150,66747669-9,1,3056,10,No
1506,97926155-6,4,2384,4,No
3549,98275857-9,0,23,14,No
3167,23124705-7,1,660,6,22767738-4
623,75006543-8,1,2438,2,No
1204,78803927-1,1,2478,13,No
2785,43959822-2,0,1728,1,No
3675,70026603-3,3,1527,15,57378727-6
3587,55790193-3,4,3165,13,No
1984,32043482-6,4,242,14,No
259,53337367-3,0,2694,8,No
2609,69482795-6,1,3044,1,No
121,78803927-1,3,1098,1,No
3085,15869307-3,0,2629,6,22767738-4
3518,57581646-4,0,1269,11,86209409-0
1971,35405564-1,0,658,6,73177104-4
2224,21398093-5,0,1016,11,95208514-3
3204,58074747-6,1,3052,6,94023614-4
342,52872009-7,1,748,8,No
2850,58074747-6,3,412,2,86209409-0
1834,57581646-4,4,2121,8,94023614-4
689,90438698-1,4,3266,14,94023614-4
2440,99921909-4,4,3560,5,22767738-4
358,79018541-2,1,670,11,No
2718,28592060-1,0,2275,1,No
1973,78093216-6,0,295,1,No
2113,98275857-9,0,852,9,No
3439,94761985-0,4,2381,1,No
937,68316971-1,4,2655,14,73177104-4
1470,78093216-6,0,2972,1,No
2628,86853828-8,4,2110,13,No
1383,63952204-2,0,3152,9,95208514-3
54,42856973-7,1,1814,4,95208514-3
3144,60775663-1,4,3314,9,86209409-0
152,32090021-3,3,692,11,86209409-0
1189,65999494-0,0,3462,15,No
496,60593511-0,4,517,4,No
215,80062558-9,1,280,1,No
2101,37926941-4,0,490,1,No
2045,88755903-1,4,3289,10,No
1907,39009356-0,1,470,10,No
1696,50672725-4,1,1879,1,No
1761,82205587-1,1,2423,12,94023614-4
2884,51263568-1,0,1321,6,94023614-4
2049,99550289-1,0,1709,8,95208514-3
2959,37926941-4,0,2965,6,73177104-4
506,20272755-6,3,3237,11,No
1000,13560469-0,0,1342,16,94023614-4
201,94761985-0,3,1810,9,No
1514,23124705-7,3,248,16,73177104-4
3323,63952204-2,3,2934,6,No
343,99352036-1,1,2375,1,No
998,76332098-2,4,2762,14,No
3423,65012894-9,3,1166,9,No
1194,21509837-2,3,3174,12,No
1408,87722745-4,4,651,12,86209409-0
3651,65012894-9,3,3069,11,73177104-4
2823,45056798-6,4,1038,6,No
3647,67552699-5,0,2559,6,No
3298,40884415-9,1,1754,13,94023614-4
431,51072055-5,4,1349,3,22767738-4
1524,13087595-1,3,3639,1,No
610,25939458-6,4,2726,11,No
3513,32818392-4,0,2109,13,No
2682,10615206-0,1,2868,12,No
3025,22212788-6,3,1500,12,No
3556,75833080-6,0,3625,9,No
2337,38867100-7,0,752,3,57378727-6
3527,40484874-8,3,2414,5,No
2306,28592060-1,1,1745,16,No
1674,72424451-8,0,1000,14,94023614-4
1327,58501550-1,1,3650,4,22767738-4
2203,30263166-2,1,2086,13,86209409-0
1956,40521119-8,1,3172,7,94023614-4
187,40521119-8,3,3047,14,No
1771,68040732-2,4,3276,1,No
208,69482795-6,3,2705,13,73177104-4
2709,70026603-3,0,2659,3,57378727-6
3143,26699972-2,0,1249,14,86209409-0
2724,27470077-6,0,350,3,No
672,45846060-8,1,96,10,73177104-4
2508,98275857-9,3,2798,13,57378727-6
711,90788070-1,4,1316,6,94023614-4
3400,13087595-1,4,3368,2,No
2862,76332098-2,3,2404,11,No
1273,38324156-4,1,1720,13,No
640,21774192-3,1,381,14,No
2808,40521119-8,3,1948,5,No
2256,97926155-6,1,910,2,22767738-4
2322,69145853-7,1,3379,15,No
949,65660643-5,3,1388,13,73177104-4
147,40388373-6,4,2021,11,57378727-6
1808,99921909-4,3,575,7,86209409-0
700,14540200-5,3,2587,1,No
518,16625683-2,0,2586,9,95208514-3
1694,35405564-1,3,2279,3,73177104-4
2357,67260949-6,0,2044,9,No
1365,23572980-4,3,2498,9,95208514-3
804,70414825-8,4,2230,5,No
1031,65999494-0,0,1078,2,22767738-4
3190,89765444-6,4,2331,8,94023614-4
2699,72795772-4,3,2266,3,No
2660,78093216-6,3,622,14,No
1970,47192537-4,3,929,7,57378727-6
1334,78671018-8,0,2133,2,73177104-4
1756,45955017-8,3,3484,9,57378727-6
673,35405564-1,0,2391,11,57378727-6
472,68234030-5,1,665,14,No
1517,60775663-1,1,3267,13,22767738-4
1105,27075358-5,4,2083,7,No
1955,78803927-1,1,868,4,No
862,13560469-0,3,1380,2,No
1671,31462078-5,3,724,4,95208514-3
2664,20114723-0,4,641,14,57378727-6
3095,19015534-8,4,516,14,No
2954,97372190-1,1,1428,14,No
3603,23124705-7,1,903,2,No
1993,36428633-7,0,1414,4,94023614-4
2069,19805123-3,4,3498,7,No
3673,12429516-4,1,3219,2,No
3642,68040732-2,1,230,6,No
3044,45955017-8,4,1785,4,86209409-0
291,79018541-2,3,1126,11,No
1372,25422399-6,4,373,2,No
252,25811298-1,1,2433,6,86209409-0
1979,25811298-1,3,3027,14,No
3134,49190437-8,1,524,3,No
2964,78785402-2,1,2667,6,No
3573,97980836-2,4,2495,4,No
2164,50672725-4,0,3135,8,73177104-4
2011,53337367-3,4,1368,14,73177104-4
2469,48863238-8,1,3192,2,No
604,96253618-2,3,714,11,95208514-3
399,61864673-3,0,3648,3,No
1085,68316971-1,0,1139,4,94023614-4
3147,33791677-0,1,2656,7,94023614-4
1555,12802093-1,4,611,3,No
3451,28841318-9,4,1109,8,No
2965,37926941-4,0,2112,4,73177104-4
207,30716561-0,0,2419,2,73177104-4
2297,26529183-7,4,699,9,86209409-0
851,44480804-6,3,2743,2,No
1443,56640243-9,0,383,7,No
1335,69145853-7,3,2037,7,No
3057,27470077-6,3,20,15,No
3416,56809478-6,4,461,12,No
2420,86190085-8,4,3212,7,95208514-3
2659,49873347-8,4,3577,10,22767738-4
1783,87722745-4,1,3021,5,No
2545,41416859-6,1,2751,3,86209409-0
3137,93827792-4,0,191,14,No
2525,55322795-0,0,1149,1,No
3222,41416859-6,3,105,9,No
3320,32090021-3,4,3592,6,57378727-6
1130,84638972-5,0,689,8,No
2080,87997004-2,1,2766,13,95208514-3
811,95010809-6,1,2615,12,No
370,65012894-9,3,716,10,86209409-0
924,36809677-6,3,3133,15,No
79,58501550-1,1,1885,8,No
387,36428633-7,0,2824,10,No
2416,94761985-0,4,1113,16,57378727-6
2769,56565081-1,3,1423,1,No
2,40884415-9,3,1045,2,No
2690,21870177-9,4,3402,4,No
2299,58501550-1,0,853,2,No
449,39009356-0,0,876,7,73177104-4
1572,56809478-6,3,2987,13,94023614-4
1859,22769853-9,1,2769,6,86209409-0
2237,57891601-9,1,2441,11,73177104-4
151,53699466-8,0,3275,1,No
3473,50692374-0,4,1160,16,No
1221,34310135-9,4,2271,4,No
1227,32043482-6,0,1516,8,57378727-6
876,23572980-4,1,866,11,86209409-0
2641,32340622-6,3,1337,9,No
1276,92670172-1,4,2051,4,No
1938,90160627-1,1,1137,11,No
1983,32090021-3,3,3556,12,No
550,59644030-9,4,2483,4,No
3219,60334032-8,3,363,16,22767738-4
3197,27470077-6,0,3422,7,86209409-0
1409,87997004-2,3,150,9,No
1897,57581646-4,4,1919,8,86209409-0
867,95010809-6,1,1130,10,No
421,14540200-5,0,1579,5,No
2980,41416859-6,0,3637,12,86209409-0
2925,65012894-9,4,300,13,No
643,60775663-1,0,1408,9,22767738-4
2197,85188169-7,0,1273,9,No
942,12429516-4,1,976,14,73177104-4
2775,89765444-6,4,1376,7,73177104-4
764,68316971-1,4,1369,14,86209409-0
292,60334032-8,1,2823,3,No
787,33424109-6,1,2192,3,86209409-0
1579,19557494-0,4,1195,11,95208514-3
3619,17091110-7,3,13,3,No
282,20953102-0,4,3059,8,94023614-4
3411,51009521-0,3,1528,12,73177104-4
3404,32090021-3,4,2867,7,No
34,24441102-3,4,2449,2,95208514-3
2415,78310737-4,1,3000,5,No
2875,81778485-8,4,3147,15,57378727-6
1414,45955017-8,3,503,6,No
2506,53039267-4,0,2227,9,No
971,99921909-4,1,3530,11,No
1166,92670172-1,1,3104,4,No
514,57891601-9,3,1076,6,94023614-4
2783,99352036-1,0,1765,8,No
2759,77121423-7,1,376,7,No
1835,76332098-2,1,2162,14,No
93,40884415-9,3,3010,12,No
307,87722745-4,1,1752,5,73177104-4
2075,20114723-0,0,2430,12,No
1724,98418033-8,3,3500,16,No
958,61617949-1,0,3627,9,No
108,28841318-9,0,1647,13,73177104-4
1349,99921909-4,0,1714,12,95208514-3
1007,14100953-3,1,3532,4,No
3119,26529183-7,3,193,10,86209409-0
1828,62614900-0,1,446,1,No
2513,98041254-1,4,3042,16,86209409-0
2320,32090021-3,0,1659,2,73177104-4
1793,33424109-6,3,749,15,No
3077,47192537-4,3,1513,14,No
3546,90160627-1,3,1674,7,94023614-4
2103,63958627-0,1,2662,3,57378727-6
2301,44920115-1,4,869,8,No
474,42856973-7,1,1106,3,86209409-0
1645,55223444-3,0,2285,3,No
2575,14100953-3,4,596,15,73177104-4
2873,84295710-6,1,1625,2,No
2463,53407302-6,3,943,15,94023614-4
1036,48263743-9,0,1925,14,No
1469,56809478-6,1,3251,4,73177104-4
2185,27075358-5,3,1815,11,95208514-3
2446,65660643-5,1,761,9,No
3324,98967597-1,1,1483,3,No
114,62614900-0,4,2563,3,57378727-6
1006,57581646-4,4,1318,16,No
2955,77724461-4,4,1519,16,No
702,47192537-4,3,2342,6,95208514-3
2761,14100953-3,3,3336,9,86209409-0
1118,76332098-2,4,2257,7,57378727-6
2109,43959822-2,0,3347,12,No
3537,11592484-9,4,2292,7,95208514-3
188,44920115-1,1,1663,1,No
3029,90160627-1,1,2537,7,No
2354,65012894-9,3,2364,5,57378727-6
3121,25939458-6,1,1880,13,No
1944,80062558-9,0,571,8,No
