id,id_hora,fecha_hora,via_conformado,rut_personal
1,2030,2025-04-02 15:30:00,Remoto,78812540-6
2,2292,2025-04-06 18:15:00,Remoto,86209409-0
3,692,2025-04-13 17:00:00,Remoto,73177104-4
4,2670,2025-04-20 17:30:00,Presencial,57378727-6
5,3328,2025-04-21 10:15:00,Remoto,57378727-6
6,179,2025-04-20 12:00:00,Remoto,30387339-7
7,3235,2025-04-25 18:45:00,Presencial,83332889-3
8,1065,2025-04-26 12:15:00,Remoto,37899207-9
9,2485,2025-04-05 14:00:00,Remoto,83332889-3
10,1181,2025-04-16 15:45:00,Presencial,86209409-0
11,168,2025-04-02 14:30:00,Remoto,94023614-4
12,2970,2025-04-28 11:30:00,Presencial,16394885-1
13,3619,2025-04-12 13:15:00,Remoto,51192824-9
14,2313,2025-04-09 08:45:00,Presencial,37899207-9
15,1004,2025-04-05 15:45:00,Presencial,78812540-6
16,777,2025-04-07 18:30:00,Presencial,86209409-0
17,2543,2025-04-28 10:15:00,Presencial,57378727-6
18,2821,2025-04-09 09:00:00,Remoto,21784166-4
19,1185,2025-04-28 17:00:00,Remoto,83332889-3
20,3057,2025-04-08 15:30:00,Presencial,94023614-4
21,642,2025-04-19 12:15:00,Presencial,57378727-6
22,3274,2025-04-06 17:30:00,Remoto,78812540-6
23,3549,2025-04-08 13:00:00,Remoto,86209409-0
24,2456,2025-04-25 10:15:00,Presencial,95208514-3
25,785,2025-04-11 10:00:00,Presencial,22767738-4
26,3246,2025-04-02 09:30:00,Presencial,94023614-4
27,1717,2025-04-08 14:15:00,Remoto,16394885-1
28,1253,2025-04-12 15:30:00,Presencial,95208514-3
29,3368,2025-04-16 11:00:00,Remoto,83332889-3
30,2183,2025-04-18 15:30:00,Presencial,78812540-6
31,2564,2025-04-06 09:15:00,Presencial,21784166-4
32,1416,2025-04-22 14:00:00,Presencial,95208514-3
33,1853,2025-04-15 13:15:00,Remoto,78812540-6
34,530,2025-04-25 10:30:00,Presencial,83332889-3
35,2305,2025-04-28 11:30:00,Presencial,83332889-3
36,2678,2025-04-18 14:15:00,Presencial,21784166-4
37,2766,2025-04-27 14:45:00,Remoto,95208514-3
38,2451,2025-04-27 18:00:00,Remoto,75524136-0
39,2951,2025-04-07 13:00:00,Remoto,21784166-4
40,2786,2025-04-16 15:15:00,Presencial,94023614-4
41,3172,2025-04-20 08:15:00,Remoto,94023614-4
42,3618,2025-04-03 09:00:00,Presencial,30387339-7
43,2555,2025-04-21 15:15:00,Remoto,75524136-0
44,2683,2025-04-09 18:45:00,Presencial,22767738-4
45,3624,2025-04-19 15:30:00,Presencial,37899207-9
46,135,2025-04-25 09:15:00,Presencial,21784166-4
47,628,2025-04-17 16:00:00,Presencial,21784166-4
48,3312,2025-04-25 18:45:00,Remoto,75524136-0
49,211,2025-04-28 18:00:00,Remoto,95208514-3
50,2382,2025-04-26 18:15:00,Presencial,95208514-3
51,1636,2025-04-04 11:45:00,Presencial,30387339-7
52,2082,2025-04-14 13:00:00,Presencial,37899207-9
53,2723,2025-04-11 16:00:00,Remoto,51192824-9
