numero,id_hora,rut_paciente,fecha_hora,comentario
1,1316,24441102-3,2025-04-02 12:30:00,Realizacion de cirugia neurologica
2,2219,56565081-1,2025-04-16 09:30:00,Realizacion de cirugia otorrinolaringologica
3,2266,14875579-3,2025-04-24 10:30:00,Realizacion de cirugia ortopedica
4,1224,50066254-1,2025-04-06 13:45:00,Realizacion de cirugia en torax
5,2654,41515034-6,2025-04-04 15:15:00,Realizacion de cirugia cardiovascular
6,3552,25422399-6,2025-04-20 13:30:00,Realizacion de cirugia otorrinolaringologica
7,751,57581646-4,2025-04-09 13:45:00,Realizacion de cirugia plastica
8,2791,26699972-2,2025-04-21 11:00:00,Realizacion de cirugia ortopedica
9,125,14540200-5,2025-04-13 17:45:00,Realizacion de cirugia otorrinolaringologica
10,2701,49197992-8,2025-04-20 12:00:00,Realizacion de cirugia plastica
11,1235,90438698-1,2025-04-07 18:00:00,Consulta general
12,2394,84638972-5,2025-04-25 10:30:00,Realizacion de cirugia abdominal
13,1840,99921909-4,2025-04-09 17:45:00,Realizacion de cirugia cardiovascular
14,181,56809478-6,2025-04-13 13:00:00,Realizacion de cirugia abdominal
15,2112,50692374-0,2025-04-21 16:00:00,Realizacion de cirugia abdominal
16,3116,24441102-3,2025-05-01 15:45:00,Realizacion de cirugia en torax
17,2153,66264861-2,2025-04-16 10:30:00,Realizacion de cirugia renal
18,1278,29519188-7,2025-04-21 15:15:00,Realizacion de cirugia en torax
19,3598,90788070-1,2025-04-29 16:15:00,Realizacion de cirugia otorrinolaringologica
20,223,95595189-5,2025-04-10 08:45:00,Realizacion de cirugia otorrinolaringologica
21,1535,38196101-9,2025-04-25 15:45:00,Realizacion de cirugia renal
22,3478,96253618-2,2025-04-24 08:45:00,Realizacion de cirugia en torax
23,2533,68316971-1,2025-04-04 13:00:00,Realizacion de cirugia ortopedica
24,2644,62614900-0,2025-04-30 15:30:00,Realizacion de cirugia ortopedica
25,609,53337367-3,2025-04-09 11:30:00,Realizacion de cirugia neurologica
26,1555,12802093-1,2025-04-18 10:15:00,Realizacion de cirugia neurologica
27,770,96253618-2,2025-04-20 09:15:00,Realizacion de cirugia abdominal
28,2393,36428633-7,2025-04-05 16:00:00,Realizacion de cirugia otorrinolaringologica
29,2318,22519178-2,2025-04-19 09:30:00,Realizacion de cirugia abdominal
30,630,27075358-5,2025-04-16 13:45:00,Realizacion de cirugia renal
31,2665,98041254-1,2025-04-02 08:45:00,Realizacion de cirugia ortopedica
32,944,23124705-7,2025-04-23 10:15:00,Realizacion de cirugia otorrinolaringologica
33,1777,99352036-1,2025-04-26 09:15:00,Realizacion de cirugia plastica
34,2576,44722314-7,2025-04-13 10:00:00,Realizacion de cirugia ortopedica
35,1590,63958627-0,2025-04-09 16:15:00,Realizacion de cirugia cardiovascular
36,2681,79018541-2,2025-04-30 15:45:00,Realizacion de cirugia en torax
37,350,31462078-5,2025-04-10 13:45:00,Realizacion de cirugia abdominal
38,137,80061523-7,2025-05-01 11:30:00,Realizacion de cirugia plastica
39,1604,67384344-0,2025-04-26 14:30:00,Realizacion de cirugia cardiovascular
40,2629,65484630-3,2025-04-12 10:45:00,Realizacion de cirugia renal
41,78,57581646-4,2025-04-18 08:30:00,Realizacion de cirugia cardiovascular
42,915,29962868-0,2025-04-10 18:15:00,Realizacion de cirugia neurologica
43,1008,40884415-9,2025-04-28 17:45:00,Realizacion de cirugia neurologica
44,2253,13560469-0,2025-04-26 10:00:00,Realizacion de cirugia abdominal
45,2379,48863238-8,2025-04-05 11:15:00,Realizacion de cirugia neurologica
46,1455,76332098-2,2025-04-19 13:15:00,Revision de cicatriz postoperatoria
47,1922,56809478-6,2025-04-28 12:45:00,Realizacion de cirugia en torax
48,3563,93738834-2,2025-04-30 15:00:00,Consulta general
49,3053,38196101-9,2025-04-16 16:30:00,Realizacion de cirugia ortopedica
50,2443,53039267-4,2025-04-22 16:15:00,Realizacion de cirugia ortopedica
51,389,67384344-0,2025-04-26 08:15:00,Realizacion de cirugia en torax
52,1140,38196101-9,2025-04-06 08:00:00,Dolor abdominal y nauseas
53,794,12429516-4,2025-04-12 10:30:00,Problemas respiratorios
54,3256,21870177-9,2025-04-16 11:00:00,Solicitud de examen de sangre
55,3618,12120279-7,2025-04-03 09:00:00,Realizacion de cirugia en torax
56,3648,85188169-7,2025-04-29 11:30:00,Realizacion de cirugia ortopedica
57,1194,21509837-2,2025-04-13 08:30:00,Realizacion de cirugia plastica
58,1799,83733104-2,2025-04-26 12:30:00,Realizacion de cirugia abdominal
59,1988,63708168-9,2025-04-13 18:00:00,Realizacion de cirugia cardiovascular
60,2102,98720208-3,2025-04-15 17:45:00,Realizacion de cirugia ortopedica
61,1085,68316971-1,2025-04-19 09:15:00,Realizacion de cirugia otorrinolaringologica
62,559,21774192-3,2025-04-07 08:15:00,Solicitud de radiografia
63,278,51072055-5,2025-04-03 18:15:00,Realizacion de cirugia cardiovascular
64,581,66264861-2,2025-04-10 08:45:00,Realizacion de cirugia neurologica
65,1200,22769853-9,2025-04-26 15:00:00,Realizacion de cirugia en torax
66,3018,92670172-1,2025-04-24 11:30:00,Dolor abdominal y nauseas
67,172,14540200-5,2025-04-17 15:45:00,Realizacion de cirugia en torax
68,1661,50672725-4,2025-04-19 18:00:00,Realizacion de cirugia en torax
69,1992,16226259-9,2025-04-16 18:15:00,Realizacion de cirugia otorrinolaringologica
70,1603,91096368-2,2025-04-22 11:15:00,Realizacion de cirugia otorrinolaringologica
71,2530,65999494-0,2025-04-07 15:45:00,Realizacion de cirugia cardiovascular
72,1577,65660643-5,2025-04-12 17:45:00,Realizacion de cirugia en torax
73,1500,69145853-7,2025-04-17 13:15:00,Realizacion de cirugia neurologica
74,1158,25939458-6,2025-04-23 17:45:00,Realizacion de cirugia en torax
75,1782,53699466-8,2025-04-20 12:30:00,Realizacion de cirugia en torax
76,2130,91096368-2,2025-05-01 17:30:00,Realizacion de cirugia neurologica
77,113,98275857-9,2025-04-30 14:45:00,Realizacion de cirugia cardiovascular
78,2472,47192537-4,2025-04-26 11:15:00,Realizacion de cirugia otorrinolaringologica
79,3169,41710986-9,2025-04-18 10:15:00,Realizacion de cirugia neurologica
80,1195,78093216-6,2025-04-21 14:30:00,Realizacion de cirugia neurologica
81,2985,84295710-6,2025-04-12 09:30:00,Realizacion de cirugia en torax
82,3461,66594934-8,2025-04-07 17:15:00,Realizacion de cirugia renal
83,3119,26529183-7,2025-04-26 10:15:00,Realizacion de cirugia plastica
84,1550,22519178-2,2025-04-04 10:00:00,Realizacion de cirugia en torax
85,1736,62237414-5,2025-04-16 16:00:00,Realizacion de cirugia neurologica
86,1268,32601187-2,2025-04-19 18:30:00,Realizacion de cirugia cardiovascular
87,1863,25422399-6,2025-04-22 17:30:00,Realizacion de cirugia cardiovascular
88,3650,12031991-9,2025-04-23 16:45:00,Realizacion de cirugia ortopedica
89,2366,76332098-2,2025-04-21 12:30:00,Realizacion de cirugia plastica
90,746,50396459-7,2025-04-11 11:45:00,Solicitud de radiografia
91,1280,32340622-6,2025-04-03 09:15:00,Realizacion de cirugia plastica
92,2534,22769853-9,2025-04-17 10:30:00,Realizacion de cirugia abdominal
93,2093,51263568-1,2025-04-19 08:00:00,Realizacion de cirugia neurologica
94,28,12457845-7,2025-04-17 09:45:00,Realizacion de cirugia cardiovascular
95,2034,52872009-7,2025-04-29 17:30:00,Consulta general
96,1164,48322668-8,2025-04-17 14:45:00,Solicitud de examen de sangre
97,2262,66747669-9,2025-04-29 16:00:00,Realizacion de cirugia renal
98,2695,17091110-7,2025-04-21 15:00:00,Realizacion de cirugia cardiovascular
99,3432,16625683-2,2025-04-09 11:30:00,Realizacion de cirugia en torax
100,1344,84295710-6,2025-04-24 10:30:00,Realizacion de cirugia cardiovascular
101,2313,16226259-9,2025-04-09 08:45:00,Realizacion de cirugia cardiovascular
102,1573,17973044-7,2025-04-19 17:00:00,Problemas respiratorios
103,2769,56565081-1,2025-04-05 13:00:00,Problemas respiratorios
104,3325,47192537-4,2025-04-25 10:45:00,Realizacion de cirugia renal
105,589,30263166-2,2025-04-23 08:45:00,Realizacion de cirugia neurologica
106,1025,94361312-4,2025-04-22 11:15:00,Dolor abdominal y nauseas
107,3250,39145977-2,2025-04-13 16:30:00,Realizacion de cirugia neurologica
108,2847,53337367-3,2025-04-27 18:00:00,Realizacion de cirugia abdominal
109,1494,72424451-8,2025-04-16 12:30:00,Realizacion de cirugia neurologica
110,578,65310865-3,2025-04-11 17:30:00,Realizacion de cirugia neurologica
111,1529,37035246-9,2025-04-08 17:15:00,Realizacion de cirugia ortopedica
112,495,15869307-3,2025-04-12 17:30:00,Realizacion de cirugia otorrinolaringologica
113,2759,77121423-7,2025-04-16 12:15:00,Realizacion de cirugia neurologica
