id,fecha_hora,medico,personal,tipo,web,sobrecupo,estado
1,2025-04-04 18:30:00,95208514-3,30387339-7,1,no,no,1
2,2025-04-11 09:30:00,86209409-0,75524136-0,1,si,no,0
3,2025-04-07 08:45:00,22767738-4,30387339-7,2,no,no,0
4,2025-04-10 14:00:00,94023614-4,75524136-0,1,no,no,1
5,2025-04-21 11:00:00,73177104-4,37899207-9,2,no,no,0
6,2025-04-28 18:00:00,22767738-4,16394885-1,2,no,no,0
7,2025-04-24 15:15:00,86209409-0,75524136-0,1,no,no,0
8,2025-04-06 08:30:00,94023614-4,37899207-9,1,no,no,0
9,2025-04-26 08:30:00,94023614-4,37899207-9,2,no,no,1
10,2025-04-20 18:45:00,73177104-4,75524136-0,1,si,no,1
11,2025-04-04 08:30:00,57378727-6,30387339-7,1,no,no,1
12,2025-04-13 08:30:00,73177104-4,78812540-6,2,no,no,1
13,2025-04-09 17:00:00,22767738-4,83332889-3,2,no,no,1
14,2025-04-08 16:30:00,95208514-3,21784166-4,1,no,no,2
15,2025-04-05 14:00:00,86209409-0,78812540-6,1,no,no,0
16,2025-04-20 18:45:00,95208514-3,51192824-9,1,si,no,2
17,2025-04-02 09:15:00,22767738-4,21784166-4,1,si,no,0
18,2025-04-16 11:00:00,94023614-4,51192824-9,1,si,no,0
19,2025-04-18 12:15:00,22767738-4,21784166-4,2,no,no,1
20,2025-04-03 15:30:00,86209409-0,75524136-0,2,no,no,1
21,2025-04-26 15:15:00,73177104-4,78812540-6,1,si,no,0
22,2025-04-09 08:30:00,73177104-4,30387339-7,1,si,no,0
23,2025-04-16 11:15:00,86209409-0,21784166-4,1,no,no,0
24,2025-04-16 10:30:00,86209409-0,16394885-1,1,si,no,1
25,2025-04-06 10:30:00,94023614-4,16394885-1,2,no,no,1
26,2025-04-12 08:45:00,86209409-0,75524136-0,1,no,no,0
27,2025-04-02 17:45:00,57378727-6,51192824-9,1,no,no,0
28,2025-04-23 15:00:00,73177104-4,51192824-9,2,no,no,0
29,2025-04-14 11:00:00,73177104-4,78812540-6,1,no,no,2
30,2025-04-03 16:15:00,57378727-6,16394885-1,1,si,no,1
31,2025-04-05 16:45:00,22767738-4,16394885-1,1,no,no,0
32,2025-05-01 10:30:00,86209409-0,83332889-3,2,no,no,2
33,2025-04-09 14:00:00,73177104-4,83332889-3,1,no,no,0
34,2025-04-10 08:15:00,86209409-0,30387339-7,2,no,no,1
35,2025-04-26 15:45:00,73177104-4,51192824-9,1,si,no,0
36,2025-04-06 18:45:00,73177104-4,30387339-7,1,no,no,0
37,2025-04-27 09:00:00,94023614-4,16394885-1,1,si,no,0
38,2025-04-12 08:45:00,95208514-3,30387339-7,1,si,no,1
39,2025-05-01 09:30:00,95208514-3,83332889-3,2,no,no,1
40,2025-04-21 08:00:00,73177104-4,21784166-4,1,no,no,0
41,2025-04-05 09:45:00,22767738-4,51192824-9,2,no,no,0
42,2025-04-05 15:15:00,94023614-4,78812540-6,1,no,no,0
