rut,nombre,apellido,telefono,correo,nombre_corto,tipo,fecha_ing,estado,porcentaje,fonasa
95208514-3,Luisa,Letelier,+56989132406,valeriazapata@example.org,L.Letelier,Médico,2022-08-29,1,26,si
86209409-0,Jorge,Gómez,+56910558205,gonzalezjairo@example.com,J.Gómez,Médico,2024-02-05,1,27,no
57378727-6,Juan,González,+56963414279,francisco68@example.org,J.González,Médico,2023-07-14,1,20,no
73177104-4,José,Soto,+56990805905,vargascamila@example.com,J.Soto,Médico,2023-12-25,1,10,no
22767738-4,Karen,Gómez,+56949478958,tnavarro@example.com,K.Gómez,Médico,2022-10-16,1,29,no
94023614-4,Héctor,Aravena,+56921580291,felipe70@example.com,H.Aravena,Médico,2020-12-03,1,27,no
75524136-0,Manuel,Fuentes,+56981391028,esteban27@example.net,M.Fuentes,Administra,2024-09-22,1,0,no
78812540-6,Constanza,Rodríguez,+56989638124,riverarobert@example.com,C.Rodríguez,Administra,2023-10-07,1,0,no
37899207-9,Emily,Quispe,+56944854019,vicentealarcon@example.org,E.Quispe,Administra,2021-06-24,1,0,no
30387339-7,Margarita,Figueroa,+56937905199,carolina85@example.net,M.Figueroa,Administra,2021-08-28,1,0,no
51192824-9,Santiago,Ferrada,+56959337616,carlosflores@example.net,S.Ferrada,Administra,2021-09-12,1,0,no
83332889-3,Iker,Zúñiga,+56997781406,cortezmario@example.org,I.Zúñiga,Administra,2020-05-29,1,0,no
16394885-1,Dante,Martínez,+56995678933,tahumada@example.net,D.Martínez,Administra,2023-11-25,1,0,no
21784166-4,Noemí,Vergara,+56986128971,gonzalezliliana@example.org,N.Vergara,Administra,2021-07-01,1,0,no
24379362-0,Pablo,Barrios,+56982157469,ricardo85@example.org,P.Barrios,Jefatura,2022-01-29,0,0,no
52880711-9,Almendra,Martínez,+56920538837,martinezjaviera@example.net,A.Martínez,Jefatura,2024-10-07,0,0,no
24222219-3,Enrique,Sáez,+56980002277,christianvergara@example.com,E.Sáez,Jefatura,2020-10-16,0,0,no
