id,rut_personal,id_hora,rut_paciente,fecha_hora,monto,estado,mediopago,bono,boleta,vaucher
1,22767738-4,857,50692374-0,2025-04-17 13:00:00,2506300,0,0,0,0,0
2,86209409-0,2590,21774192-3,2025-04-10 11:15:00,1600123,0,0,0,0,0
3,95208514-3,2461,27470077-6,2025-04-16 11:00:00,1800999,0,0,0,0,0
4,22767738-4,2737,22769853-9,2025-04-04 14:15:00,2086651,1,3,0,1,0
5,57378727-6,1534,57891601-9,2025-04-23 16:15:00,2132690,0,0,0,0,0
6,94023614-4,2600,30716561-0,2025-04-18 15:15:00,2506300,0,0,0,0,0
7,73177104-4,37,56640243-9,2025-04-20 17:00:00,2727431,0,0,0,0,0
8,57378727-6,677,81778485-8,2025-04-09 10:00:00,2820245,0,0,0,0,0
9,86209409-0,1821,69145853-7,2025-04-18 15:30:00,1800999,0,0,0,0,0
10,57378727-6,3366,11592484-9,2025-04-05 16:00:00,2727431,1,3,0,2,0
11,94023614-4,1316,24441102-3,2025-03-31 12:30:00,2820245,0,0,0,0,0
12,22767738-4,3037,78803927-1,2025-04-13 18:30:00,2105020,0,0,0,0,0
13,95208514-3,2285,29519188-7,2025-04-14 16:15:00,3092497,1,2,0,3,1
14,86209409-0,717,15074844-0,2025-04-10 11:45:00,2105020,0,0,0,0,0
15,22767738-4,3664,46930558-3,2025-04-16 13:15:00,2506300,0,0,0,0,0
16,73177104-4,3521,72222830-6,2025-04-23 11:45:00,2800365,0,0,0,0,0
17,22767738-4,2577,24735893-2,2025-04-09 09:00:00,3092497,0,0,0,0,0
18,22767738-4,1305,78943450-5,2025-04-09 08:15:00,2506300,0,0,0,0,0
19,22767738-4,3570,98720208-3,2025-04-02 10:00:00,3092497,0,0,0,0,0
20,73177104-4,491,77724461-4,2025-04-17 16:45:00,2727431,1,4,0,4,0
21,94023614-4,2148,28592060-1,2025-04-03 09:30:00,35000,0,0,0,0,0
22,73177104-4,3227,26529183-7,2025-04-08 13:45:00,1600123,1,2,0,5,2
23,86209409-0,2552,25939458-6,2025-04-28 16:00:00,3238968,0,0,0,0,0
24,57378727-6,1329,48863238-8,2025-04-05 10:00:00,2132690,0,0,0,0,0
25,73177104-4,3279,67260949-6,2025-04-03 11:30:00,3092497,1,4,0,6,0
26,73177104-4,972,31462078-5,2025-04-04 12:15:00,2132690,1,4,0,7,0
27,73177104-4,946,21398093-5,2025-04-15 13:15:00,3092497,0,0,0,0,0
28,94023614-4,3065,84295710-6,2025-04-20 08:15:00,2105020,0,0,0,0,0
29,95208514-3,2175,12120279-7,2025-04-19 17:30:00,2820245,0,0,0,0,0
30,57378727-6,3433,11458745-0,2025-04-13 14:30:00,35000,0,0,0,0,0
31,57378727-6,954,50066254-1,2025-04-30 10:45:00,2800365,0,0,0,0,0
32,57378727-6,1620,60334032-8,2025-04-11 12:15:00,3081058,1,2,0,8,3
33,95208514-3,3231,67384344-0,2025-04-13 13:15:00,3081058,1,1,0,9,4
34,73177104-4,1939,82205587-1,2025-04-09 10:00:00,2105020,0,0,0,0,0
35,94023614-4,565,50692374-0,2025-04-20 08:45:00,3010000,0,0,0,0,0
36,57378727-6,652,53407302-6,2025-04-08 12:45:00,2800365,0,0,0,0,0
37,57378727-6,20,53337367-3,2025-04-17 12:15:00,1750012,0,0,0,0,0
38,94023614-4,2901,32043482-6,2025-04-21 09:00:00,1750012,0,0,0,0,0
39,86209409-0,1258,62903851-4,2025-04-15 18:00:00,1750012,0,0,0,0,0
40,22767738-4,1202,15347792-3,2025-04-08 15:15:00,1750012,0,0,0,0,0
41,73177104-4,397,94761985-0,2025-04-27 18:00:00,2820245,0,0,0,0,0
42,94023614-4,803,57891601-9,2025-03-31 08:45:00,3081058,0,0,0,0,0
43,86209409-0,2449,97926155-6,2025-04-06 11:00:00,2132690,1,1,0,10,5
44,94023614-4,633,60775663-1,2025-04-01 15:30:00,1800999,1,4,0,11,0
45,73177104-4,1115,93738834-2,2025-04-14 18:15:00,3081058,0,0,0,0,0
46,57378727-6,193,24595395-3,2025-04-28 09:45:00,2132690,0,0,0,0,0
47,22767738-4,2051,13560469-0,2025-04-24 11:15:00,2506300,0,0,0,0,0
48,86209409-0,338,72795772-4,2025-04-15 10:30:00,3010000,0,0,0,0,0
49,57378727-6,2634,61617949-1,2025-04-17 17:15:00,50500,0,0,0,0,0
50,86209409-0,3524,67384344-0,2025-04-23 12:45:00,3120345,0,0,0,0,0
51,22767738-4,3086,19557494-0,2025-04-19 18:45:00,2086651,0,0,0,0,0
52,57378727-6,3046,81768570-2,2025-04-25 13:15:00,3081058,1,1,0,12,6
53,86209409-0,2526,72795772-4,2025-04-24 09:30:00,2820245,0,0,0,0,0
54,73177104-4,599,76332098-2,2025-04-06 15:15:00,2506300,0,0,0,0,0
55,86209409-0,1044,80061523-7,2025-04-24 16:45:00,3120345,0,0,0,0,0
56,57378727-6,290,31462078-5,2025-04-16 11:15:00,1750012,0,0,0,0,0
57,22767738-4,3665,29962868-0,2025-04-27 11:30:00,50500,0,0,0,0,0
58,95208514-3,428,22769853-9,2025-04-29 14:15:00,25300,0,0,0,0,0
59,86209409-0,1380,21398093-5,2025-04-06 14:45:00,1600123,0,0,0,0,0
60,57378727-6,3610,85033698-2,2025-04-14 13:00:00,2727431,0,0,0,0,0
61,94023614-4,1812,65660643-5,2025-04-27 09:30:00,1600123,0,0,0,0,0
62,94023614-4,3644,90438698-1,2025-04-14 18:00:00,3092497,0,0,0,0,0
63,22767738-4,522,55322795-0,2025-04-16 09:00:00,2105020,0,0,0,0,0
64,95208514-3,3021,35405564-1,2025-04-27 18:15:00,2105020,0,0,0,0,0
65,22767738-4,629,63708168-9,2025-04-28 18:00:00,2800365,1,2,0,13,7
66,57378727-6,1866,69145853-7,2025-04-04 18:45:00,1800999,0,0,0,0,0
67,22767738-4,2377,85033698-2,2025-04-27 09:45:00,2800365,0,0,0,0,0
68,22767738-4,2274,39145977-2,2025-04-28 10:30:00,2727431,0,0,0,0,0
69,73177104-4,3510,19805123-3,2025-04-30 12:00:00,2105020,1,4,0,14,0
70,94023614-4,3230,98720208-3,2025-04-09 13:45:00,2727431,0,0,0,0,0
71,95208514-3,878,79159576-1,2025-04-28 17:30:00,2132690,0,0,0,0,0
72,73177104-4,1569,36809677-6,2025-04-27 17:30:00,2132690,1,4,0,15,0
73,22767738-4,503,11852079-8,2025-04-05 15:15:00,3120345,0,0,0,0,0
74,22767738-4,3232,37926941-4,2025-04-04 12:45:00,1750012,0,0,0,0,0
75,22767738-4,2966,66264861-2,2025-04-18 17:15:00,1600123,0,0,0,0,0
76,57378727-6,1104,32601187-2,2025-04-29 12:30:00,2727431,0,0,0,0,0
77,94023614-4,1588,66264861-2,2025-04-03 10:30:00,1600123,0,0,0,0,0
78,22767738-4,2515,44722314-7,2025-04-04 13:15:00,3238968,1,3,0,16,0
79,57378727-6,2292,55539940-3,2025-04-06 18:15:00,1800999,0,0,0,0,0
80,86209409-0,2974,78662663-0,2025-04-10 13:15:00,2105020,1,4,0,17,0
81,94023614-4,482,51009521-0,2025-04-14 16:15:00,3081058,0,0,0,0,0
82,57378727-6,2267,61617949-1,2025-05-01 16:15:00,2800365,0,0,0,0,0
83,22767738-4,1915,70812597-6,2025-04-15 14:00:00,2086651,0,0,0,0,0
84,57378727-6,3028,37640277-4,2025-04-04 15:00:00,2105020,0,0,0,0,0
85,94023614-4,1911,96253618-2,2025-04-17 13:15:00,2105020,0,0,0,0,0
86,86209409-0,2595,45846060-8,2025-04-06 15:15:00,2800365,1,3,0,18,0
87,94023614-4,1117,40884415-9,2025-04-17 13:00:00,2086651,0,0,0,0,0
88,86209409-0,1565,45846060-8,2025-04-08 11:45:00,3081058,0,0,0,0,0
89,95208514-3,531,61864673-3,2025-04-21 09:15:00,3238968,0,0,0,0,0
90,57378727-6,704,56809478-6,2025-05-01 18:15:00,2800365,0,0,0,0,0
91,22767738-4,2516,53039267-4,2025-04-18 09:30:00,3120345,0,0,0,0,0
92,73177104-4,583,70414825-8,2025-04-10 15:30:00,1800999,0,0,0,0,0
93,94023614-4,2610,32818392-4,2025-04-20 12:00:00,2086651,0,0,0,0,0
94,95208514-3,1330,99550289-1,2025-04-27 17:00:00,2800365,0,0,0,0,0
95,73177104-4,735,38324156-4,2025-05-02 18:00:00,50500,1,2,0,19,8
96,73177104-4,3417,98275857-9,2025-04-28 18:15:00,50500,0,0,0,0,0
97,73177104-4,723,49873347-8,2025-04-07 15:15:00,35000,0,0,0,0,0
98,94023614-4,1545,19557494-0,2025-04-27 18:00:00,1800999,0,0,0,0,0
99,94023614-4,1753,11592484-9,2025-04-14 13:45:00,1600123,0,0,0,0,0
100,95208514-3,3544,32340622-6,2025-04-23 12:15:00,50500,0,0,0,0,0
101,73177104-4,3098,98041254-1,2025-04-18 09:30:00,35000,0,0,0,0,0
102,94023614-4,3198,79159576-1,2025-04-21 08:15:00,2820245,1,4,0,20,0
103,22767738-4,687,22212788-6,2025-04-25 18:15:00,50500,0,0,0,0,0
104,57378727-6,2431,20272755-6,2025-04-20 18:00:00,2727431,0,0,0,0,0
105,73177104-4,1027,62614900-0,2025-04-20 15:00:00,3238968,0,0,0,0,0
106,94023614-4,2289,53337367-3,2025-04-26 14:30:00,3092497,0,0,0,0,0
107,57378727-6,1526,34310135-9,2025-04-26 17:30:00,3010000,0,0,0,0,0
108,86209409-0,2209,14540200-5,2025-04-13 18:30:00,1750012,0,0,0,0,0
109,57378727-6,1573,17973044-7,2025-04-21 17:00:00,50500,0,0,0,0,0
110,22767738-4,3356,64355233-5,2025-04-11 14:45:00,2820245,0,0,0,0,0
111,94023614-4,1617,89765444-6,2025-04-11 11:00:00,2506300,1,3,0,21,0
112,57378727-6,2497,22212788-6,2025-04-16 11:15:00,3081058,0,0,0,0,0
113,86209409-0,658,16226259-9,2025-04-17 10:45:00,3081058,0,0,0,0,0
114,57378727-6,511,63952204-2,2025-04-26 14:15:00,3120345,1,1,0,22,9
115,95208514-3,3270,12457845-7,2025-04-04 15:45:00,1800999,0,0,0,0,0
116,86209409-0,373,40484874-8,2025-04-30 10:15:00,3010000,0,0,0,0,0
117,22767738-4,58,49197992-8,2025-04-11 11:30:00,1750012,1,3,0,23,0
118,86209409-0,575,75006543-8,2025-04-26 08:45:00,3010000,0,0,0,0,0
119,22767738-4,3463,58501550-1,2025-04-11 09:30:00,3081058,0,0,0,0,0
120,57378727-6,76,38196101-9,2025-04-27 11:30:00,1800999,0,0,0,0,0
121,86209409-0,3306,55223444-3,2025-04-30 15:30:00,3238968,1,3,0,24,0
122,22767738-4,337,55322795-0,2025-04-24 15:45:00,3238968,0,0,0,0,0
123,94023614-4,1367,37926941-4,2025-04-11 15:45:00,3092497,0,0,0,0,0
124,86209409-0,1978,65660643-5,2025-04-15 14:45:00,1800999,0,0,0,0,0
125,94023614-4,770,96253618-2,2025-04-22 09:15:00,2105020,1,2,0,25,10
126,94023614-4,86,48322668-8,2025-04-16 18:45:00,1750012,0,0,0,0,0
127,95208514-3,2851,89765444-6,2025-05-01 09:30:00,2105020,1,3,0,26,0
128,95208514-3,89,92670172-1,2025-04-09 15:30:00,3092497,0,0,0,0,0
129,73177104-4,554,23124705-7,2025-04-18 16:15:00,35000,0,0,0,0,0
130,95208514-3,1401,90942860-9,2025-04-12 18:45:00,1750012,0,0,0,0,0
